movieid,id,body,interest_score_users_voted,interest_score_users_interested,category_id,category_text
tt0068646,tr0777786,"During an early shot of the scene where Vito Corleone returns home and his people carry him up the stairs, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> put weights under his body on the bed as a prank, to make it harder to lift him.",2631,2613,uncategorized,Uncategorized
tt0068646,tr0777818,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0598926/?ref_=tttrv_tr"">Lenny Montana</a> (Luca Brasi) was so nervous about working with <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> that in the first take of their scene together, he flubbed some lines. Director <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> liked the genuine nervousness and used it in the final cut. The scenes of Luca practicing his speech were added later.",3069,3047,uncategorized,Uncategorized
tt0068646,tr1477276,"Cinematographer <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0932336/?ref_=tttrv_tr"">Gordon Willis</a> earned himself the nickname &quot;The Prince of Darkness,&quot; since his sets were so underlit. &quot;Paramount Pictures&quot; executives initially thought that the footage was too dark, until persuaded otherwise by Willis and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> that it was to emphasize the shadiness of the Corleone family&#39;s dealings.",1149,1143,uncategorized,Uncategorized
tt0068646,tr2891169,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> held improvisational rehearsal sessions that simply consisted of the main cast sitting down in character for a family meal. The actors and actresses couldn&#39;t break character, which Coppola saw as a way for the cast to organically establish the family roles seen in the final film.",739,736,uncategorized,Uncategorized
tt0068646,tr0777864,"The cat held by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> in the opening scene was a stray that Coppola found while on the lot at &quot;Paramount Pictures,&quot; and was not originally called for in the script. So content was the cat that its purring muffled some of Brando&#39;s dialogue and, as a result, most of his lines had to be looped.",1991,1976,uncategorized,Uncategorized
tt0068646,tr0777876,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> wanted to make Don Corleone &quot;look like a bulldog,&quot; so he stuffed his cheeks with cotton wool for the audition. For the actual filming, he wore a mouthpiece made by Dick Smith. This appliance is on display in the American Museum of the Academy Museum of Motion Pictures in Los Angeles in a special Godfather exhibition",2414,2393,uncategorized,Uncategorized
tt0068646,tr0777836,"The smack that Vito gives Johnny Fontane was not in the script. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> improvised the smack and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0553887/?ref_=tttrv_tr"">Al Martino</a>&#39;s confused reaction was real. According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001001/?ref_=tttrv_tr"">James Caan</a>, &quot;Martino didn&#39;t know whether to laugh or cry.&quot;",1602,1589,uncategorized,Uncategorized
tt0068646,tr1477259,"There was intense friction between <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> and Paramount Pictures, in which Paramount Pictures frequently tried to have Coppola replaced, citing his inability to stay on schedule, unnecessary expenses, and production and casting errors (Coppola actually completed the film ahead of schedule and under budget).",1459,1446,uncategorized,Uncategorized
tt0068646,tr0758927,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0144710/?ref_=tttrv_tr"">Richard S. Castellano</a> ad-libbed the line &quot;Leave the gun, take the cannoli.&quot;",1452,1438,uncategorized,Uncategorized
tt0068646,tr0777765,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001001/?ref_=tttrv_tr"">James Caan</a> improvised the part where he throws the FBI photographer&#39;s camera to the ground. The actor&#39;s frightened reaction is genuine. Caan also came up with the idea of throwing money at the man to make up for breaking his camera. As he put it, &quot;Where I came from, you broke something, you replaced it or repaid the owner.&quot;",2046,2024,uncategorized,Uncategorized
tt0068646,tr0777868,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> insisted on the film being called &quot;<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0701374/?ref_=tttrv_tr"">Mario Puzo</a>&#39;s The Godfather&quot; rather than just &quot;The Godfather&quot;, because his original draft of the screenplay was so faithful to the novel, he thought Puzo deserved the credit for it.",1167,1156,uncategorized,Uncategorized
