movieid,id,body,interest_score_users_voted,interest_score_users_interested,category_id,category_text
tt7131622,tr4662912,"The producers had some initial difficulties convincing Hollywood Boulevard vendors to allow their premises to be fitted with period facades to better reflect the 1960s. However, after the production wrapped that section of the shoot, most of these same people asked if they could leave the facades in place, since they now much more preferred that period &#39;look.&#39;",2437,2411,uncategorized,Uncategorized
tt7131622,tr4693784,"The character Flowerchild (Maya Hawke), who is shown having cold feet on going through with the murders, and who flees the scene in the 1959 Ford Galaxie, is based on Linda Kasabian, who became a witness for the prosecution in the murder trial of Tex Watson, Patricia Krenwinkel, and Susan Atkins. In real life Kasabian was ordered by Tex Watson to wait in the car, during which she heard the murders inside the Tate residence take place and witnessed the murder of Wojciech Frykowski outside the house. Kasabian claimed she wanted to drive away, but was too scared.",642,638,uncategorized,Uncategorized
tt7131622,tr4652305,"Very rare for a <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000233/?ref_=tttrv_tr"">Quentin Tarantino</a> film, some scenes contained improvisation, particularly when Rick Dalton forgets his lines when filming a &quot;Lancer&quot; and afterwards rants to himself privately in his trailer. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000138/?ref_=tttrv_tr"">Leonardo DiCaprio</a> had a very difficult time playing the scene as Dalton, rather than as how he himself would, especially since Dalton is supposed to be an actor of limited range. DiCaprio suggested that Dalton forget his lines mid-scene--ironically, to help him stay in character as Dalton. The subsequent scene in the trailer was also unscripted, improvised.",3250,3212,uncategorized,Uncategorized
tt7131622,tr4649034,"When Sharon goes to a showing of her movie <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0065225/?ref_=tttrv_tr"">The Wrecking Crew (1968)</a>, the filmmakers chose to use the actual film rather than recreating the scenes with Robbie. The real Sharon Tate briefly appears on screen.",2503,2474,uncategorized,Uncategorized
tt7131622,tr4648966,"Donald &quot;Shorty&quot; Shea was a ranch hand employed by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0816645/?ref_=tttrv_tr"">George Spahn</a>. He had tried to warn Spahn about the dangerous nature of the Manson family. At some point he was jumped and then killed, with various body parts being buried around the ranch. One of the killers was Steve &quot;Clem&quot; Grogan - the hippie who knifes the tire and is confronted by Cliff. As he starts to change the tire you can see a cowboy in a corral in the background. As Shorty was the only ranch hand, this would have been him in the shot. His body was not found until 1977 when Clem agreed to show the police where the remains could be found.",1322,1309,uncategorized,Uncategorized
tt7131622,tr4694228,"Sharon Tate (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm3053338/?ref_=tttrv_tr"">Margot Robbie</a>) visits a book store to pick up a copy of &quot;Tess of the d&#39;Urbervilles.&quot; The real <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001790/?ref_=tttrv_tr"">Sharon Tate</a> gave husband <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000591/?ref_=tttrv_tr"">Roman Polanski</a> a copy of the book while in Europe, just before she returned to the US, saying that it would make a great film in which she herself would love to star. This was the last time Polanski saw Tate alive. He would later adapt the book as <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0080009/?ref_=tttrv_tr"">Tess (1979)</a>, dedicated to his murdered wife.",873,865,uncategorized,Uncategorized
tt7131622,tr4798494,"China refused the film a certificate for release in the country, strongly hinting that the issue was the way the film portrayed <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000045/?ref_=tttrv_tr"">Bruce Lee</a> and that an edit which eliminated the Lee-related material would get approval for release. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000233/?ref_=tttrv_tr"">Quentin Tarantino</a> responded by publicly stating he would not edit any of the film to ensure its release in China.",1229,1216,uncategorized,Uncategorized
tt7131622,tr4697202,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000093/?ref_=tttrv_tr"">Brad Pitt</a> ad-libbed the line, &quot;You&#39;re Rick fucking Dalton! Don&#39;t you forget that.&quot; Pitt based that line on an actor who told him the same thing when he was a budding actor in the early nineties.",2005,1978,uncategorized,Uncategorized
tt7131622,tr4662911,"In an unprecedented film production move, a section of L.A.&#39;s Hollywood Freeway (US-101) was completely shut down from 12pm to 2pm for a sequence populated with period cars. No VFX were used to create this sequence.",1744,1721,uncategorized,Uncategorized
tt7131622,tr4949484,"While scouting for locations, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000233/?ref_=tttrv_tr"">Quentin Tarantino</a> visited <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001812/?ref_=tttrv_tr"">Lee Van Cleef</a>&#39;s home. While there, he noticed a giant poster of Van Cleef&#39;s face hanging in his garage. Tarantino thought this was both funny and strange, and decided to give Rick Dalton the same thing on his driveway.",586,581,uncategorized,Uncategorized
