title,core_job_title,company_name,company_sector_and_industry,company_website,language_requirements,technical_tools,yearly_min_compensation,yearly_max_compensation,workplace_countries,workplace_states,workplace_cities,formatted_workplace_location,apply_url
Software Engineer,Software Engineer,Caterpillar,"['Construction Equipment Manufacturers', 'Machine Manufacturers', 'Manufacturing Companies', 'Shoe Brands', 'Turbine Manufacturers', 'Engine Manufacturers', 'Vehicle Parts Manufacturers', 'Clothing Companies']",caterpillar.com,['English'],"['Software development tools', 'Automated testing tools']",,,['IN'],"['Tamil Nadu, IN']","['Chennai, Tamil Nadu, IN']","Chennai, Tamil Nadu, India",https://cat.wd5.myworkdayjobs.com/caterpillarcareers/job/Chennai-Tamil-Nadu/Software-Engineer_R0000294903-1
Senior Software Engineer - Node.js,Senior Software Engineer,Caterpillar,"['Construction Equipment Manufacturers', 'Machine Manufacturers', 'Manufacturing Companies', 'Shoe Brands', 'Turbine Manufacturers', 'Engine Manufacturers', 'Vehicle Parts Manufacturers', 'Clothing Companies']",caterpillar.com,['English'],"['Node.js', 'Express', 'Jest', 'Cloudwatch', 'Redis', 'ECS Margate/Fargate', 'Lambdas', 'Containers', 'SQL', 'NoSQL']",43200,43200,['SK'],[],"['Kosice, null, SK']","Kosice, Slovakia",https://cat.wd5.myworkdayjobs.com/caterpillarcareers/job/Kosice-Slovakia/Senior-Software-Engineer---Nodejs_R0000289742
Senior Software Engineer,Senior Software Engineer,Caterpillar,"['Construction Equipment Manufacturers', 'Machine Manufacturers', 'Manufacturing Companies', 'Shoe Brands', 'Turbine Manufacturers', 'Engine Manufacturers', 'Vehicle Parts Manufacturers', 'Clothing Companies']",caterpillar.com,['English'],"['.NET', 'Java', 'Python', 'JavaScript', 'TypeScript', 'Angular', 'React', 'Service Fabric', 'Docker', 'Kubernetes', 'AWS', 'Azure', 'SQL', 'Apache Spark', 'Flink', 'Akka', 'Storm', 'Kafka', 'RabbitMQ', 'AWS SQS', 'AWS SNS', 'Apache ActiveMQ', 'Kinesis']",110520,179640,['US'],"['Virginia, US']","['Virginia Beach, Virginia, US']","Virginia Beach, Virginia, United States",https://cat.wd5.myworkdayjobs.com/caterpillarcareers/job/Virginia-Beach-Virginia/Senior-Software-Engineer_R0000293017-1
Lead Software Engineer,Lead Software Engineer,Caterpillar,"['Construction Equipment Manufacturers', 'Machine Manufacturers', 'Manufacturing Companies', 'Shoe Brands', 'Turbine Manufacturers', 'Engine Manufacturers', 'Vehicle Parts Manufacturers', 'Clothing Companies']",caterpillar.com,['English'],"['HCL Commerce', 'Java', 'J2EE', 'Agile']",149781,204720,['US'],"['Texas, US']","['Irving, Texas, US']","Irving, Texas, United States",https://cat.wd5.myworkdayjobs.com/caterpillarcareers/job/Irving-Texas/Lead-Software-Engineer_R0000294247
Software Engineer,Software Engineer,Physicsx.ai,['Information Technology'],https://physicsx.ai,['English'],"['Python', 'FastAPI', 'Kubernetes', 'Terraform', 'AWS', 'Azure']",120000,240000,['US'],"['New York, US']","['New York, New York, US']","New York, New York, United States",https://jobs.lever.co/physicsx.ai/a57e79ae-5ec6-41e5-83f6-31de417a16e5/apply
Forward Deployed Software Engineer,Software Engineer,Physicsx.ai,['Information Technology'],https://physicsx.ai,['English'],"['Python', 'FastAPI', 'Kubernetes', 'Terraform', 'AWS', 'Azure']",120000,240000,['US'],"['New York, US']","['New York, New York, US']","New York, New York, United States",https://jobs.lever.co/physicsx.ai/9bc87bac-de0d-41af-9ead-c8a28e3500f3/apply
Forward Deployed Software Engineer,Software Engineer,Physicsx.ai,['Information Technology'],https://physicsx.ai,['English'],"['Python', 'FastAPI', 'Kubernetes', 'Terraform', 'AWS', 'Azure']",,,['GB'],[],"['Shoreditch, null, GB']","Shoreditch, United Kingdom",https://jobs.lever.co/physicsx.ai/074ab541-4b2c-4344-b78e-d8b366c57b3c/apply
Frontend Software Engineer,Frontend Software Engineer,Physicsx.ai,['Information Technology'],https://physicsx.ai,['English'],"['TypeScript', 'React', 'Kubernetes', 'Webpack', 'Vite']",,,['GB'],"['London, GB']","['Shoreditch, London, GB']","Shoreditch, London, United Kingdom",https://jobs.lever.co/physicsx.ai/c450103c-7de8-4dc8-9457-23f3888c4898/apply
Software Engineer,Software Engineer,Commonwealth Bank of Australia,"['Banks', 'Financial Services Companies']",commbank.com.au,['English'],"['.NET Framework Core', 'C#', 'SOAP', 'REST APIs', 'Microservices', 'Node', 'Python', 'Azure Cloud', 'Power Platform', 'GitHub Actions', 'Azure DevOps', 'Splunk', 'Grafana', 'Prometheus', 'Postgres', 'Oracle', 'MongoDB', 'Kafka', 'Apache Camel', 'Temporal', 'Mulesoft']",,,['AU'],"['New South Wales, AU']","['Sydney, New South Wales, AU']","Sydney, New South Wales, Australia",https://cba.wd3.myworkdayjobs.com/commbank_careers/job/Sydney-CBD-Area/Software-Engineer_REQ230988
Software Engineer,Software Engineer,Commonwealth Bank of Australia,"['Banks', 'Financial Services Companies']",commbank.com.au,['English'],"['Java', 'Python', 'API Testing', 'Database Testing', 'Git', 'Continuous Integration', 'Continuous Delivery', 'Behaviour Driven Development', 'JIRA', 'Confluence']",,,['AU'],"['New South Wales, AU']","['Sydney, New South Wales, AU']","Sydney, New South Wales, Australia",https://cba.wd3.myworkdayjobs.com/commbank_careers/job/Sydney-CBD-Area/Software-Engineer_REQ231125-1
